Date,Open,High,Low,Close,Adjusted Close,Volume,Symbol
2020-04-08,60.3300,60.9500,59.4100,60.5100,60.2300,39502700,GOOG
2020-04-09,61.2000,61.2800,59.8400,60.5700,60.2900,43508420,GOOG
2020-04-13,60.4600,61.0300,59.3800,60.8800,60.6000,34796560,GOOG
2020-04-14,62.2500,64.1000,61.8500,63.4600,63.1600,49408000,GOOG
2020-04-15,62.2800,64.0200,62.0200,63.1200,62.8300,33434060,GOOG
2020-04-16,63.7100,63.9500,62.1300,63.1700,62.8800,50362000,GOOG
2020-04-17,64.2400,64.7200,63.5600,64.1600,63.8600,38980840,GOOG
2020-04-20,63.5500,64.0800,63.0700,63.3300,63.0300,33910000,GOOG
2020-04-21,62.3500,62.7100,60.4900,60.8200,60.5400,43060060,GOOG
2020-04-22,62.2800,64.2800,62.1000,63.1600,62.8700,41862800,GOOG
2020-04-23,63.5800,64.6700,63.2800,63.8200,63.5200,31324060,GOOG
2020-04-24,63.0600,64.0200,62.4700,63.9700,63.6700,32807880,GOOG
2020-04-27,64.8000,64.8100,63.4500,63.7900,63.4900,32012000,GOOG
2020-04-28,64.4000,64.4000,61.6100,61.6800,61.3900,59026179,GOOG
2020-04-29,67.0700,68.0000,66.2700,67.0700,66.7600,75872600,GOOG
2020-04-30,66.2400,67.6400,66.1200,67.4300,67.1200,53378120,GOOG
2020-05-01,66.4300,67.6000,65.5500,66.0300,65.7200,41452780,GOOG
2020-05-04,65.4100,66.3800,64.9500,66.3400,66.0300,30080340,GOOG
2020-05-05,66.9000,68.7000,66.8700,67.5600,67.2500,33030660,GOOG
2020-05-06,68.0800,68.5600,67.3600,67.3600,67.0500,24308460,GOOG
2020-05-07,68.3000,68.8800,67.7600,68.6300,68.3100,27995180,GOOG
2020-05-08,69.1600,69.9400,68.7700,69.4200,69.1000,27761360,GOOG
2020-05-11,68.9100,70.8300,68.8600,70.1600,69.8300,28242320,GOOG
2020-05-12,70.3600,70.7500,68.7400,68.7900,68.4700,27812000,GOOG
2020-05-13,68.8500,69.2700,66.4200,67.4700,67.1600,36252000,GOOG
2020-05-14,66.7500,67.8700,66.2000,67.8100,67.4900,32062000,GOOG
2020-05-15,67.5000,68.7200,66.9500,68.6600,68.3400,34154940,GOOG
2020-05-18,68.0900,69.6200,67.7100,69.2000,68.8800,36479280,GOOG
2020-05-19,69.3500,69.6000,68.6700,68.6700,68.3500,25612980,GOOG
2020-05-20,69.4800,70.5200,69.3600,70.3400,70.0100,33108000,GOOG
2020-05-21,70.4000,70.7700,69.6700,70.1400,69.8100,27703880,GOOG
2020-05-22,69.8400,70.6400,69.5900,70.5200,70.1900,26188160,GOOG
2020-05-26,71.8600,72.0500,70.6100,70.8500,70.5200,41212860,GOOG
2020-05-27,70.8600,71.0900,69.5600,70.8900,70.5600,33722840,GOOG
2020-05-28,69.8400,72.0400,69.8000,70.8400,70.5100,33879520,GOOG
2020-05-29,70.8500,71.6300,70.6700,71.4500,71.1200,36761180,GOOG
2020-06-01,70.9200,71.9000,70.9000,71.5900,71.2600,24342800,GOOG
2020-06-02,71.5300,71.9800,70.9400,71.9600,71.6200,25562560,GOOG
2020-06-03,71.9200,72.3300,71.4900,71.8200,71.4900,25124000,GOOG
2020-06-04,71.5200,71.9500,70.2400,70.6100,70.2800,29686000,GOOG
2020-06-05,70.6600,72.2500,70.3000,71.9200,71.5800,34704880,GOOG
2020-06-08,71.1200,72.4000,71.1200,72.3300,71.9900,28084000,GOOG
2020-06-09,72.2700,73.4000,72.1600,72.8100,72.4700,28184980,GOOG
2020-06-10,72.9800,73.7100,72.8100,73.2900,72.9500,30504000,GOOG
2020-06-11,72.1200,72.7200,70.1000,70.1900,69.8600,39826640,GOOG
2020-06-12,71.4200,71.8500,69.3000,70.6600,70.3300,38928000,GOOG
2020-06-15,69.5400,71.2400,69.4000,70.9900,70.6600,30121920,GOOG
2020-06-16,72.2600,72.7500,71.3000,72.1400,71.8000,34232280,GOOG
2020-06-17,72.3600,73.0000,71.5700,72.5600,72.2200,30992300,GOOG
2020-06-18,72.4600,72.5700,71.3500,71.8000,71.4700,31638320,GOOG
2020-06-19,72.2000,72.3900,71.0700,71.5900,71.2600,63158000,GOOG
2020-06-22,71.4500,72.6400,71.1600,72.5900,72.2500,30848800,GOOG
2020-06-23,72.7800,73.8000,72.2600,73.2200,72.8800,28596000,GOOG
2020-06-24,73.0800,73.7700,71.4900,71.6000,71.2700,35120440,GOOG
2020-06-25,71.5000,72.1500,71.0000,72.0700,71.7300,24610000,GOOG
2020-06-26,71.5700,71.6700,67.6000,68.0000,67.6800,85354000,GOOG
2020-06-29,67.9100,69.7800,67.3500,69.7500,69.4200,36204000,GOOG
2020-06-30,69.5200,70.9300,69.2000,70.6800,70.3500,40848000,GOOG
2020-07-01,70.5600,72.1500,70.4900,71.9000,71.5600,35504000,GOOG
2020-07-02,72.3500,74.1500,72.3200,73.2400,72.9000,37189600,GOOG
2020-07-06,74.0000,75.3300,73.6400,74.7900,74.4400,31280000,GOOG
2020-07-07,74.5000,75.8400,74.1800,74.2600,73.9100,29164000,GOOG
2020-07-08,74.7200,75.2900,74.2800,74.8000,74.4500,24994000,GOOG
2020-07-09,75.3200,76.1400,74.4000,75.5500,75.2000,28466440,GOOG
2020-07-10,75.3100,77.1900,74.8300,77.0900,76.7300,37134080,GOOG
