Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2025-04-07,350.8800,370.8899,344.7900,356.9150,356.9150,20854207
MSFT,2025-04-04,364.1300,374.5900,359.4800,359.8400,359.8400,46878390
MSFT,2025-04-03,374.7900,377.4800,369.3500,373.1100,373.1100,30198000
MSFT,2025-04-02,377.9700,385.0800,376.6200,382.1400,382.1400,16092600
MSFT,2025-04-01,374.6500,382.8500,373.2300,382.1900,382.1900,19689503
MSFT,2025-03-31,372.5400,377.0700,367.2400,375.3900,375.3900,35184700
MSFT,2025-03-28,388.0800,389.1300,376.9300,378.8000,378.8000,21632016
MSFT,2025-03-27,390.1300,392.2400,387.4000,390.5800,390.5800,13766800
MSFT,2025-03-26,395.0000,395.3100,388.5700,389.9700,389.9700,16132906
MSFT,2025-03-25,393.9200,396.3600,392.6400,395.1600,395.1600,15775000
MSFT,2025-03-24,395.4000,395.4000,389.8100,393.0800,393.0800,21004548
MSFT,2025-03-21,383.2200,391.7400,382.8000,391.2600,391.2600,39675928
MSFT,2025-03-20,385.7400,391.7900,383.2800,386.8400,386.8400,18470542
MSFT,2025-03-19,385.5300,389.6800,384.0000,387.8200,387.8200,19185532
MSFT,2025-03-18,387.0700,387.3700,381.1000,383.5200,383.5200,19486900
MSFT,2025-03-17,386.7000,392.7100,385.5700,388.7000,388.7000,22474300
MSFT,2025-03-14,379.7800,390.2300,379.5100,388.5600,388.5600,19952846
MSFT,2025-03-13,383.1600,385.3200,377.4500,378.7700,378.7700,20473017
MSFT,2025-03-12,382.9500,385.2200,378.9500,383.2700,383.2700,24253600
MSFT,2025-03-11,379.0000,386.0000,376.9100,380.4500,380.4500,30380200
MSFT,2025-03-10,385.8400,386.4000,377.2200,380.1600,380.1600,32840134
MSFT,2025-03-07,392.3200,394.8000,385.5400,393.3100,393.3100,22034100
MSFT,2025-03-06,394.2800,402.1500,392.6800,396.8900,396.8900,23304625
MSFT,2025-03-05,389.3400,401.6700,388.8100,401.0200,401.0200,23433132
MSFT,2025-03-04,383.4000,392.5800,381.0000,388.6100,388.6100,29342923
MSFT,2025-03-03,398.8200,398.8200,386.1600,388.4900,388.4900,23007726
MSFT,2025-02-28,392.6600,397.6300,386.5700,396.9900,396.9900,32845700
MSFT,2025-02-27,401.2700,405.7400,392.1700,392.5300,392.5300,21127406
MSFT,2025-02-26,398.0100,403.6000,394.2500,399.7300,399.7300,19619000
MSFT,2025-02-25,401.1000,401.9200,396.7000,397.9000,397.9000,29387402
MSFT,2025-02-24,408.5100,409.3700,399.3200,404.0000,404.0000,26443700
MSFT,2025-02-21,417.3400,418.0500,407.8900,408.2100,408.2100,27524800
MSFT,2025-02-20,415.2900,419.3100,412.5400,416.1300,416.1300,23508728
MSFT,2025-02-19,407.8800,415.4900,407.6500,414.7700,413.9400,24114200
MSFT,2025-02-18,408.0000,410.6000,406.5000,409.6400,408.8200,21423100
MSFT,2025-02-14,407.7900,408.9100,405.8800,408.4300,407.6100,22758500
MSFT,2025-02-13,407.0000,411.0000,406.3600,410.5400,409.7200,23891731
MSFT,2025-02-12,407.2100,410.7500,404.3700,409.0400,408.2200,19121734
MSFT,2025-02-11,409.6400,412.4900,409.3000,411.4400,410.6200,18140600
MSFT,2025-02-10,413.7100,415.4600,410.9200,412.2200,411.4000,20817919
MSFT,2025-02-07,416.4800,418.6500,408.1000,409.7500,408.9300,22886844
MSFT,2025-02-06,414.0000,418.2000,414.0000,415.8200,414.9900,16309800
MSFT,2025-02-05,412.3500,413.8300,410.4000,413.2900,412.4600,16336188
MSFT,2025-02-04,412.6900,413.9200,409.7400,412.3700,411.5400,20532100
MSFT,2025-02-03,411.6000,415.4100,408.6600,410.9200,410.1000,25679149
MSFT,2025-01-31,418.9800,420.6900,414.9100,415.0600,414.2300,34223400
MSFT,2025-01-30,418.7700,422.8600,413.1600,414.9900,414.1600,54586300
MSFT,2025-01-29,446.6900,446.8800,440.4000,442.3300,441.4400,23581400
MSFT,2025-01-28,434.6000,448.3800,431.3800,447.2000,446.3100,23491703
MSFT,2025-01-27,424.0100,435.2000,423.5000,434.5600,433.6900,35647805
MSFT,2025-01-24,445.1600,446.6500,441.4000,444.0600,443.1700,15549500
MSFT,2025-01-23,442.0000,446.7500,441.5000,446.7100,445.8200,18389300
MSFT,2025-01-22,437.5600,447.2700,436.0000,446.2000,445.3100,27803811
MSFT,2025-01-21,430.2000,430.9000,425.6000,428.5000,427.6400,26085703
MSFT,2025-01-17,434.0900,434.4800,428.1700,429.0300,428.1700,26197507
MSFT,2025-01-16,428.7000,429.4900,424.3900,424.5800,423.7300,15300023
MSFT,2025-01-15,419.1300,428.1500,418.2700,426.3100,425.4600,19637838
MSFT,2025-01-14,417.8100,419.7400,410.7200,415.6700,414.8400,16935900
MSFT,2025-01-13,415.2400,418.5000,412.2900,417.1900,416.3600,17604800
MSFT,2025-01-10,424.6300,424.7100,415.0200,418.9500,418.1100,20201132
MSFT,2025-01-08,423.4600,426.9700,421.5400,424.5600,423.7100,15054600
MSFT,2025-01-07,429.0000,430.6500,420.8000,422.3700,421.5200,18139100
MSFT,2025-01-06,428.0000,434.3200,425.4800,427.8500,426.9900,20573648
MSFT,2025-01-03,421.0800,424.0300,419.5400,423.3500,422.5000,16662943
MSFT,2025-01-02,425.5300,426.0700,414.8500,418.5800,417.7400,16896500
MSFT,2024-12-31,426.1000,426.7300,420.6600,421.5000,420.6600,13246509
MSFT,2024-12-30,426.0600,427.5500,421.9000,424.8300,423.9800,13158703
MSFT,2024-12-27,434.6000,435.2200,426.3500,430.5300,429.6700,18117713
MSFT,2024-12-26,439.0800,440.9400,436.6300,438.1100,437.2300,8199927
MSFT,2024-12-24,434.6500,439.6000,434.1900,439.3300,438.4500,7164543
MSFT,2024-12-23,436.7400,437.6500,432.8300,435.2500,434.3800,19152519
MSFT,2024-12-20,433.1100,443.7400,428.6300,436.6000,435.7300,64263700
MSFT,2024-12-19,441.6200,443.1800,436.3200,437.0300,436.1600,22963700
MSFT,2024-12-18,451.3200,452.6500,437.0200,437.3900,436.5100,24444545
MSFT,2024-12-17,451.0100,455.2900,449.5700,454.4600,453.5500,22733500
MSFT,2024-12-16,447.2700,452.1800,445.2800,451.5900,450.6900,23598834
MSFT,2024-12-13,448.4400,451.4300,445.5800,447.2700,446.3700,20177833
MSFT,2024-12-12,449.1100,456.1600,449.1100,449.5600,448.6600,20834800
MSFT,2024-12-11,444.0500,450.3500,444.0500,448.9900,448.0900,19200208
MSFT,2024-12-10,444.3900,449.6200,441.6000,443.3300,442.4400,18469500
